,index,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
73,74,Caster Semenya,ICONS,2019,/collection/100-most-influential-people-2019/5567679/caster-semenya,Null,Null,"Born: January 7, 1991 (age 29 years), Ga-masehlong, South Africa","Mokgadi Caster Semenya OIB is a South African middle-distance runner and 2016 Olympic gold medalist. She won gold in the women's 800 metres at the 2009 World Championships with a time of 1:55.45, the 2016 Summer Olympics, and the 2017 World Championships in her new personal best, 1:55.16. ","Ga-masehlong, South Africa","January 7, 1991",29,She
74,75,Mirian G.,ICONS,2019,/collection/100-most-influential-people-2019/5567674/mirian-g,Null,Null,Null,Null,,,,
75,76,Grainne Griffin,ICONS,2019,/collection/100-most-influential-people-2019/5567678/grainne-griffin-ailbhe-smyth-orla-oconnor,Null,Null,Null,Null,,,,
76,77,Loujain al-Hathloul,ICONS,2019,/collection/100-most-influential-people-2019/5567677/loujain-al-hathloul,Null,Null,"Born: July 31, 1989 (age 31 years), Jeddah, Saudi Arabia","Loujain al-Hathloul is a Saudi women's rights activist, a social media figure, and a political prisoner. She is a graduate of the University of British Columbia. ","Jeddah, Saudi Arabia","July 31, 1989",31,She
77,78,Mohamed Salah,ICONS,2019,/collection/100-most-influential-people-2019/5567841/mohamed-salah,Null,Null,"Born: June 15, 1992 (age 28 years), Nagrig, Egypt","Mohamed Salah Hamed Mahrous Ghaly is an Egyptian professional footballer who plays as a forward for Premier League club Liverpool and the Egypt national team. Considered one of the best players in the world, he is known for his finishing, dribbling, and speed. ","Nagrig, Egypt","June 15, 1992",28,he
78,79,LeBron James,TITANS,2019,/collection/100-most-influential-people-2019/5567852/lebron-james,Null,Null,"Born: December 30, 1984 (age 35 years), Akron, OH","LeBron Raymone James Sr. is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association. Widely considered one of the greatest NBA players in history, James is frequently compared to Michael Jordan in debates over the greatest basketball player of all time. ","Akron, OH","December 30, 1984",35,
79,80,Jennifer Hyman,TITANS,2019,/collection/100-most-influential-people-2019/5567849/jennifer-hyman,Null,Null,"Born: August 24, 1980 (age 40 years), New York, NY","Jennifer Hyman is the CEO and co-founder of Rent the Runway, a company focused on the renting of high-end clothing and accessories. ","New York, NY","August 24, 1980",40,
80,81,Gayle King,TITANS,2019,/collection/100-most-influential-people-2019/5567840/gayle-king,Null,Null,"Born: December 28, 1954 (age 65 years), Chevy Chase, MD","Gayle King is an American television personality, author and broadcast journalist for CBS News, co-hosting its flagship morning program, CBS This Morning, a position she has held since its debut in 2012. She is also an editor-at-large for O, The Oprah Magazine. ","Chevy Chase, MD","December 28, 1954",65,she
81,82,Mark Zuckerberg,TITANS,2019,/collection/100-most-influential-people-2019/5567848/mark-zuckerberg,Null,Null,"Born: May 14, 1984 (age 36 years), White Plains, NY","Mark Elliot Zuckerberg is an American media magnate, internet entrepreneur, and philanthropist. He is known for co-founding Facebook, Inc. and serves as its chairman, chief executive officer, and controlling shareholder. ","White Plains, NY","May 14, 1984",36,He
82,83,Tiger Woods,TITANS,2019,/collection/100-most-influential-people-2019/5567768/tiger-woods,Null,Null,"Born: December 30, 1975 (age 44 years), Cypress, CA","Eldrick Tont ""Tiger"" Woods is an American professional golfer. He is tied for first in PGA Tour wins and ranks second in men's major championships and also holds numerous golf records. Woods is widely regarded as one of the greatest golfers, and one of the most famous athletes of all time. ","Cypress, CA","December 30, 1975",44,He
83,84,Jeanne Gang,TITANS,2019,/collection/100-most-influential-people-2019/5567842/jeanne-gang,Null,Null,"Born: March 19, 1964 (age 56 years), Belvidere, IL","Jeanne Gang is an American architect and the founder and leader of Studio Gang, an architecture and urban design practice with offices in Chicago, New York, and San Francisco. ","Belvidere, IL","March 19, 1964",56,
84,85,Bob Iger,TITANS,2019,/collection/100-most-influential-people-2019/5567846/bob-iger,Null,Null,"Born: February 10, 1951 (age 69 years), New York, NY","Robert Allen Iger is an American business executive who is Executive Chairman of The Walt Disney Company. Before working for Disney, Bob served as the President of ABC Television from 1994 to 1995, and as President/COO of Capital Cities/ABC, Inc. from 1995 until Disney's acquisition of the company in 1996. ","New York, NY","February 10, 1951",69,
85,86,Pat McGrath,TITANS,2019,/collection/100-most-influential-people-2019/5567843/pat-mcgrath,Null,Null,"Born: 1970 (age 50 years), Northampton, United Kingdom",Pat McGrath MBE is a British make-up artist. She has been called the most influential make-up artist in the world by Vogue magazine and other commentators. In 2019 she was included in Time's 100 most influential people list. ,"Northampton, United Kingdom",1970,50,She
86,87,Alex Morgan,TITANS,2019,/collection/100-most-influential-people-2019/5567853/alex-morgan,Null,Null,"Born: July 2, 1989 (age 31 years), San Dimas, CA","Alexandra Morgan Carrasco is an American professional soccer player who plays as a forward for Tottenham Hotspur of the English FA Women's Super League and the United States women's national soccer team. Since 2018, she has co-captained the national team with Carli Lloyd and Megan Rapinoe. ","San Dimas, CA","July 2, 1989",31,she
87,88,Vera Jourova,TITANS,2019,/collection/100-most-influential-people-2019/5567851/vera-jourova,Null,Null,"Born: August 18, 1964 (age 56 years), Třebíč, Czechia","Věra Jourová is a Czech politician and lawyer who has been the Vice President of the European Commission for Values and Transparency since 1 December 2019 and previously served as the European Commissioner for Justice, Consumers and Gender Equality from 2014 to 2019. ","Třebíč, Czechia","August 18, 1964",56,
88,89,Ryan Murphy,TITANS,2019,/collection/100-most-influential-people-2019/5567854/ryan-murphy,Null,Null,"Born: November 9, 1965 (age 55 years), Indianapolis, IN","Ryan Patrick Murphy is an American television producer, director, and writer. He is best known for creating and producing a number of television series, such as Popular, Nip/Tuck, Glee, American Horror Story, Scream Queens, Pose, 9-1-1, The Politician, 9-1-1: Lone Star, and Ratched. ","Indianapolis, IN","November 9, 1965",55,He
89,90,Mukesh Ambani,TITANS,2019,/collection/100-most-influential-people-2019/5567845/mukesh-ambani,Null,Null,"Born: April 19, 1957 (age 63 years), Aden, Yemen","Mukesh Dhirubhai Ambani is an Indian billionaire business magnate, and the chairman, managing director, and largest shareholder of Reliance Industries Ltd., a Fortune Global 500 company and India's most valuable company by market value. ","Aden, Yemen","April 19, 1957",63,
90,91,Ren Zhengfei,TITANS,2019,/collection/100-most-influential-people-2019/5567847/ren-zhengfei,Null,Null,"Born: October 25, 1944 (age 76 years), Zhenning Buyei and Miao Autonomous County, Anshun, China","Ren Zhengfei is a Chinese entrepreneur and engineer. He is the founder and CEO of Shenzhen-based Huawei, the world's largest manufacturer of telecommunications equipment and second largest manufacturer of smartphones. As of February 2019, he had a net worth of US$1.3 billion. ","Zhenning Buyei and Miao Autonomous County, Anshun, China","October 25, 1944",76,He
91,92,Marillyn Hewson,TITANS,2019,/collection/100-most-influential-people-2019/5567844/marillyn-hewson,Null,Null,"Born: 1954 (age 66 years), Junction City, KS","Marillyn Adams Hewson is the current chairman, and former president and chief executive officer of the aerospace and defense manufacturing company Lockheed Martin. ","Junction City, KS",1954,66,
92,93,Jerome Powell,TITANS,2019,/collection/100-most-influential-people-2019/5567850/jerome-powell,Null,Null,"Born: February 4, 1953 (age 67 years), Washington, D.C.","Jerome Hayden ""Jay"" Powell is the 16th Chair of the Federal Reserve, serving in that office since February 2018. ","Washington, D.C.","February 4, 1953",67,
93,94,Menaka Guruswamy,PIONEERS,2019,/web/20190417112245/http://time.com/collection/100-most-influential-people-2019/5567711/arundhati-katju-menaka-guruswamy/,Null,Null,"Born: November 27, 1974 (age 46 years), Hyderabad, India","Menaka Guruswamy is a Senior Advocate at the Supreme Court of India. She is a B.R. Ambedkar Research Scholar and Lecturer at Columbia Law School, New York. Guruswamy has been visiting faculty at Yale Law School, New York University School of Law and University of Toronto Faculty of Law. ","Hyderabad, India","November 27, 1974",46,She
94,95,Ezra Levin,PIONEERS,2019,/web/20190417112245/http://time.com/collection/100-most-influential-people-2019/5567710/leah-greenberg-ezra-levin/,Null,Null,"Born: 1986 (age 34 years), Buda","Ezra Levin is an American political activist and co-founder of the progressive non-profit organization, Indivisible. He is co-author of We Are Indivisible: A Blueprint for Democracy After Trump, published in 2019. ",Buda,1986,34,He
95,96,James Monsees,PIONEERS,2019,/web/20190417112245/http://time.com/collection/100-most-influential-people-2019/5567701/adam-bowen-james-monsees/,Null,Null,Nationality: American,"James Monsees is an American businessman, and the co-founder and chief product officer of Juul Labs, an electronic cigarette company. Monsees is an alumnus of Whitfield School in St. Louis, Missouri. ",,,,
96,97,Emily Comer,PIONEERS,2019,/web/20190417112245/http://time.com/collection/100-most-influential-people-2019/5567709/jay-oneal-emily-comer/,Null,Null,Null,Null,,,,
97,98,Ailbhe Smyth,ICONS,2019,/web/20190417112245/http://time.com/collection/100-most-influential-people-2019/5567678/grainne-griffin-ailbhe-smyth-orla-oconnor/,Null,Null,"Born: 1946 (age 74 years), Dublin, Ireland","Ailbhe Smyth is an Irish academic, feminist and LGBTQ activist. She was the founding director of the Women's Education, Resource and Research Centre, University College Dublin. ","Dublin, Ireland",1946,74,She
98,99,Orla O'Connor,ICONS,2019,/web/20190417112245/http://time.com/collection/100-most-influential-people-2019/5567678/grainne-griffin-ailbhe-smyth-orla-oconnor/,Null,Null,Null,Null,,,,
